full_name,pr_number,issue_number,issue_to_pr_days,pr_to_merge_days,merge_to_release_days
ploigos/ploigos-step-runner,90,,,0.08846064814814815,21.152615740740742
ploigos/ploigos-step-runner,92,,,0.7625694444444444,17.12821759259259
ploigos/ploigos-step-runner,93,,,6.882083333333333,3.16962962962963
ploigos/ploigos-step-runner,95,,,2.972916666666667,27.126631944444444
ploigos/ploigos-step-runner,96,,,1.1389583333333333,18.983587962962964
ploigos/ploigos-step-runner,97,,,1.031875,0.8549074074074074
ploigos/ploigos-step-runner,103,,,0.10496527777777778,0.0036458333333333334
ploigos/ploigos-step-runner,104,,,0.08798611111111111,0.2270601851851852
ploigos/ploigos-step-runner,106,,,0.0004166666666666667,0.0760300925925926
ploigos/ploigos-step-runner,107,,,0.01056712962962963,0.05358796296296296
ploigos/ploigos-step-runner,118,,,0.0862962962962963,117.7065625
ploigos/ploigos-step-runner,120,,,1.002962962962963,112.9089236111111
ploigos/ploigos-step-runner,121,,,0.7194444444444444,112.025625
ploigos/ploigos-step-runner,122,,,0.028969907407407406,111.95386574074074
ploigos/ploigos-step-runner,124,,,0.9658217592592593,106.06101851851852
ploigos/ploigos-step-runner,125,,,0.10241898148148149,96.68703703703704
ploigos/ploigos-step-runner,126,,,0.018657407407407407,96.6435300925926
ploigos/ploigos-step-runner,129,,,0.1503935185185185,86.8332986111111
ploigos/ploigos-step-runner,133,,,1.650798611111111,48.08447916666667
ploigos/ploigos-step-runner,134,,,4.218344907407407,43.712291666666665
ploigos/ploigos-step-runner,135,,,4.041759259259259,43.72706018518519
ploigos/ploigos-step-runner,137,,,0.003958333333333334,36.82498842592592
ploigos/ploigos-step-runner,138,,,0.01619212962962963,36.800868055555554
ploigos/ploigos-step-runner,139,,,0.7344675925925926,34.085717592592594
ploigos/ploigos-step-runner,141,,,0.8917824074074074,26.907488425925926
ploigos/ploigos-step-runner,142,,,0.0013657407407407407,26.967962962962964
ploigos/ploigos-step-runner,143,,,0.03478009259259259,26.906921296296296
ploigos/ploigos-step-runner,144,,,6.0461226851851855,20.761944444444445
ploigos/ploigos-step-runner,145,,,3.2790625,20.75951388888889
ploigos/ploigos-step-runner,146,,,7.952094907407408,12.804039351851852
ploigos/ploigos-step-runner,147,,,0.02167824074074074,15.992708333333333
ploigos/ploigos-step-runner,148,,,5.031365740740741,8.881203703703704
ploigos/ploigos-step-runner,149,,,1.161712962962963,8.770289351851853
ploigos/ploigos-step-runner,151,,,0.0018865740740740742,8.784525462962963
ploigos/ploigos-step-runner,152,,,0.6325,8.076481481481482
ploigos/ploigos-step-runner,153,,,0.013668981481481482,7.935914351851852
ploigos/ploigos-step-runner,154,,,0.8724537037037037,6.1095601851851855
ploigos/ploigos-step-runner,155,,,0.9116666666666666,5.783611111111111
ploigos/ploigos-step-runner,156,,,1.0307060185185186,0.7268055555555556
ploigos/ploigos-step-runner,157,,,0.0011226851851851851,0.7919675925925926
ploigos/ploigos-step-runner,158,,,2.393449074074074,8.049143518518518
ploigos/ploigos-step-runner,159,,,0.15443287037037037,7.0755787037037035
ploigos/ploigos-step-runner,160,,,2.0460300925925927,3.8457175925925924
ploigos/ploigos-step-runner,161,,,2.6619675925925925,3.062025462962963
ploigos/ploigos-step-runner,162,,,0.02666666666666667,3.807361111111111
ploigos/ploigos-step-runner,163,,,4.689953703703703,16.043599537037036
ploigos/ploigos-step-runner,164,,,1.0693055555555555,14.942199074074074
ploigos/ploigos-step-runner,165,,,5.656006944444444,10.099398148148149
ploigos/ploigos-step-runner,167,,,0.04857638888888889,8.773020833333334
ploigos/ploigos-step-runner,168,,,2.7199768518518517,5.968784722222222
ploigos/ploigos-step-runner,169,102.0,212.06141203703703,1.8515972222222221,5.906689814814815
ploigos/ploigos-step-runner,171,,,0.016516203703703703,0.7038888888888889
ploigos/ploigos-step-runner,173,98.0,227.93975694444444,7.012997685185185,5.0584375
ploigos/ploigos-step-runner,173,99.0,226.93716435185186,7.012997685185185,5.0584375
ploigos/ploigos-step-runner,173,100.0,220.93261574074074,7.012997685185185,5.0584375
ploigos/ploigos-step-runner,174,,,0.9822569444444444,7.118877314814815
ploigos/ploigos-step-runner,175,,,1.9309722222222223,5.06011574074074
ploigos/ploigos-step-runner,176,,,0.13671296296296295,1.9960069444444444
ploigos/ploigos-step-runner,178,,,0.9049074074074074,0.27274305555555556
